source,sourcery_rule,refurb_2_3_1_check,status,mapping_confidence
Sourcery,assign-if-exp,,missing,
Sourcery,augmented-assign,,missing,
Sourcery,avoid-builtin-shadow,,missing,
Sourcery,aware-datetime-for-utc,unreliable-utc-usage,covered,strong
Sourcery,binary-operator-identity,,missing,
Sourcery,boolean-if-expression-identity,,missing,
Sourcery,break-or-continue-outside-loop,,missing,
Sourcery,chain-compares,use-comparison-chain,covered,strong
Sourcery,class-extract-method,,missing,
Sourcery,class-method-first-parameter-should-be-cls,,missing,
Sourcery,collection-to-comprehension,,missing,
Sourcery,collection-into-set,,missing,
Sourcery,collection-to-bool,,missing,
Sourcery,compare-via-equals,,missing,
Sourcery,comprehension-to-generator,,missing,
Sourcery,convert-any-to-in,,missing,
Sourcery,convert-to-enumerate,,missing,
Sourcery,dataframe-append-to-concat,,missing,
Sourcery,de-morgan,,missing,
Sourcery,default-get,use-implicit-default,covered,strong
Sourcery,default-mutable-arguments,,missing,
Sourcery,del-comprehension,,missing,
Sourcery,dict-assign-update-to-union,use-dict-union,covered,strong
Sourcery,dictionary-comprehension,,missing,
Sourcery,dict-literal,use-literal,covered,strong
Sourcery,do-not-use-bare-except,,missing,
Sourcery,dont-import-test-modules,,missing,
Sourcery,ensure-file-closed,,missing,
Sourcery,equality-identity,no-isinstance-type-none,covered,strong
Sourcery,extract-duplicate-method,,missing,
Sourcery,extract-method,,missing,
Sourcery,flatten-nested-try,,missing,
Sourcery,flip-comparison,,missing,
Sourcery,for-append-to-extend,use-list-extend,covered,strong
Sourcery,for-index-replacement,,missing,
Sourcery,replace-for-index-with-underscore,no-ignored-enumerate-items,covered,strong
Sourcery,guard,,missing,
Sourcery,hoist-if-from-if,,missing,
Sourcery,hoist-loop-from-if,,missing,
Sourcery,hoist-repeated-if-condition,,missing,
Sourcery,hoist-similar-statements-from-if,,missing,
Sourcery,hoist-statements-from-if,,missing,
Sourcery,hoist-statement-from-loop,,missing,
Sourcery,identity-comprehensions,,missing,
Sourcery,inline-immediately-returned-variables,,missing,
Sourcery,inline-immediately-yielded-variable,,missing,
Sourcery,inline-variable,,missing,
Sourcery,instance-method-first-parameter-should-be-self,,missing,
Sourcery,introduce-default-else,,missing,
Sourcery,invert-any-all,,missing,
Sourcery,invert-any-all-in-body,,missing,
Sourcery,last-if-statement-guard,,missing,
Sourcery,lift-duplicated-conditional,,missing,
Sourcery,lift-return-into-if,,missing,
Sourcery,list-comprehension,use-list-comprehension,covered,strong
Sourcery,list-literal,use-literal,covered,strong
Sourcery,low-code-quality,,missing,
Sourcery,max-min-default,,missing,
Sourcery,merge-assignment-and-augmented-assignment,,missing,
Sourcery,merge-comparisons,,missing,
Sourcery,merge-dictionary-assignments,,missing,
Sourcery,merge-duplicate-blocks,,missing,
Sourcery,merge-else-if-into-elif,,missing,
Sourcery,merge-exception-handlers,,missing,
Sourcery,merge-isinstance,,missing,
Sourcery,merge-list-append,,missing,
Sourcery,merge-list-appends-into-extend,use-list-extend,covered,strong
Sourcery,merge-list-extend,,missing,
Sourcery,merge-nested-ifs,,missing,
Sourcery,merge-repeated-ifs,,missing,
Sourcery,merge-set-add,,missing,
Sourcery,method-chaining,,missing,
Sourcery,min-max-identity,,missing,
Sourcery,missing-dict-items,,missing,
Sourcery,move-assign,,missing,
Sourcery,move-assign-in-block,,missing,
Sourcery,no-conditionals-in-tests,,missing,
Sourcery,no-loop-in-tests,,missing,
Sourcery,non-equal-comparison,,missing,
Sourcery,none-compare,no-isinstance-type-none,covered,strong
Sourcery,or-if-exp-identity,,missing,
Sourcery,pandas-avoid-inplace,,missing,
Sourcery,pathlib-path-read,,missing,
Sourcery,raise-from-previous-error,,missing,
Sourcery,raise-specific-error,,missing,
Sourcery,reintroduce-else,,missing,
Sourcery,remove-assert-true,,missing,
Sourcery,remove-dict-items,,missing,
Sourcery,remove-dictionary-keys,,missing,
Sourcery,remove-duplicate-dict-key,,missing,
Sourcery,remove-duplicate-set-key,,missing,
Sourcery,remove-empty-nested-block,,missing,
Sourcery,remove-none-from-default-get,use-implicit-default,covered,strong
Sourcery,remove-pass-from-body,,missing,
Sourcery,remove-pass-from-elif,,missing,
Sourcery,remove-redundant-boolean,,missing,
Sourcery,remove-redundant-condition,,missing,
Sourcery,remove-redundant-constructor-in-dict-union,,missing,
Sourcery,remove-redundant-continue,no-redundant-continue,covered,strong
Sourcery,remove-redundant-except-handler,,missing,
Sourcery,remove-redundant-exception,,missing,
Sourcery,remove-redundant-f-string,,missing,
Sourcery,remove-redundant-path-exists,,missing,
Sourcery,remove-redundant-slice-index,,missing,
Sourcery,remove-str-from-fstring,use-fstring-format,covered,strong
Sourcery,remove-str-from-call-to-print,,missing,
Sourcery,remove-unit-step-from-range,,missing,
Sourcery,remove-unnecessary-cast,no-redundant-cast,covered,strong
Sourcery,remove-unnecessary-else,,missing,
Sourcery,remove-unreachable-code,,missing,
Sourcery,remove-unused-enumerate,no-ignored-enumerate-items,covered,strong
Sourcery,remove-zero-from-range,,missing,
Sourcery,replace-apply-with-method-call,,missing,
Sourcery,replace-apply-with-numpy-operation,,missing,
Sourcery,replace-dict-items-with-values,,missing,
Sourcery,replace-interpolation-with-fstring,,missing,
Sourcery,return-or-yield-outside-function,,missing,
Sourcery,set-comprehension,,missing,
Sourcery,simplify-boolean-comparison,no-bool-literal-compare,covered,strong
Sourcery,simplify-constant-sum,,missing,
Sourcery,simplify-dictionary-update,,missing,
Sourcery,simplify-division,,missing,
Sourcery,simplify-empty-collection-comparison,,missing,
Sourcery,simplify-f-string-formatting,,missing,
Sourcery,simplify-generator,,missing,
Sourcery,simplify-length-comparison,no-len-compare,covered,strong
Sourcery,simplify-negative-index,,missing,
Sourcery,simplify-numeric-comparison,,missing,
Sourcery,simplify-single-exception-tuple,,missing,
Sourcery,simplify-string-length-comparison,,missing,
Sourcery,simplify-substring-search,,missing,
